config,idx,source,true_label,ood_score,pred_label,correct
chốt demo (user),0,AA_pure,ID,0.533069,ID,1
chốt demo (user),1,AA_pure,ID,0.404366,ID,1
chốt demo (user),2,AA_pure,ID,0.172454,ID,1
chốt demo (user),3,AA_pure,ID,0.371042,ID,1
chốt demo (user),4,AA_pure,ID,0.165299,ID,1
chốt demo (user),5,AA_pure,ID,0.172545,ID,1
chốt demo (user),6,AA_pure,ID,0.317083,ID,1
chốt demo (user),7,AA_pure,ID,0.564441,ID,1
chốt demo (user),8,AA_pure,ID,0.171755,ID,1
chốt demo (user),9,AA_pure,ID,0.282975,ID,1
chốt demo (user),10,AA_pure,ID,0.182355,ID,1
chốt demo (user),11,AA_pure,ID,0.589165,ID,1
chốt demo (user),12,AA_pure,ID,0.674974,ID,1
chốt demo (user),13,AA_pure,ID,0.127922,ID,1
chốt demo (user),14,AA_pure,ID,0.158049,ID,1
chốt demo (user),15,AA_pure,ID,0.221662,ID,1
chốt demo (user),16,AA_pure,ID,0.264872,ID,1
chốt demo (user),17,AA_pure,ID,0.225019,ID,1
chốt demo (user),18,AA_pure,ID,0.193913,ID,1
chốt demo (user),19,AA_pure,ID,0.181819,ID,1
chốt demo (user),20,AA_pure,ID,0.380914,ID,1
chốt demo (user),21,AA_pure,ID,0.222622,ID,1
chốt demo (user),22,AA_pure,ID,0.291571,ID,1
chốt demo (user),23,AA_pure,ID,0.204346,ID,1
chốt demo (user),24,AA_pure,ID,0.427415,ID,1
chốt demo (user),25,AA_pure,ID,0.388307,ID,1
chốt demo (user),26,AA_pure,ID,0.1785,ID,1
chốt demo (user),27,AA_pure,ID,0.34586,ID,1
chốt demo (user),28,AA_pure,ID,0.463414,ID,1
chốt demo (user),29,AA_pure,ID,0.409947,ID,1
chốt demo (user),30,AA_pure,ID,0.266043,ID,1
chốt demo (user),31,AA_pure,ID,0.359082,ID,1
chốt demo (user),32,AA_pure,ID,0.354789,ID,1
chốt demo (user),33,AA_pure,ID,0.365462,ID,1
chốt demo (user),34,AA_pure,ID,0.315816,ID,1
chốt demo (user),35,AA_pure,ID,0.450573,ID,1
chốt demo (user),36,AA_pure,ID,0.238733,ID,1
chốt demo (user),37,AA_pure,ID,0.276487,ID,1
chốt demo (user),38,AA_pure,ID,0.129527,ID,1
chốt demo (user),39,AA_pure,ID,0.238002,ID,1
chốt demo (user),40,AA_pure,ID,0.328772,ID,1
chốt demo (user),41,AA_pure,ID,0.500055,ID,1
chốt demo (user),42,AA_pure,ID,0.370916,ID,1
chốt demo (user),43,AA_pure,ID,0.342101,ID,1
chốt demo (user),44,AA_pure,ID,0.215557,ID,1
chốt demo (user),45,AA_pure,ID,0.470233,ID,1
chốt demo (user),46,AA_pure,ID,0.541087,ID,1
chốt demo (user),47,AA_pure,ID,0.123158,ID,1
chốt demo (user),48,AA_pure,ID,0.144425,ID,1
chốt demo (user),49,AA_pure,ID,0.416954,ID,1
chốt demo (user),50,AA_pure,ID,0.201135,ID,1
chốt demo (user),51,AA_pure,ID,0.225711,ID,1
chốt demo (user),52,AA_pure,ID,0.126219,ID,1
chốt demo (user),53,AA_pure,ID,0.466207,ID,1
chốt demo (user),54,AA_pure,ID,0.383045,ID,1
chốt demo (user),55,AA_pure,ID,0.459055,ID,1
chốt demo (user),56,AA_pure,ID,0.415688,ID,1
chốt demo (user),57,AA_pure,ID,0.262624,ID,1
chốt demo (user),58,AA_pure,ID,0.24549,ID,1
chốt demo (user),59,AA_pure,ID,0.434997,ID,1
chốt demo (user),60,AA_pure,ID,0.230468,ID,1
chốt demo (user),61,AA_pure,ID,0.608107,ID,1
chốt demo (user),62,AA_pure,ID,0.216533,ID,1
chốt demo (user),63,AA_pure,ID,0.16413,ID,1
chốt demo (user),64,AA_pure,ID,0.210076,ID,1
chốt demo (user),65,AA_pure,ID,0.434,ID,1
chốt demo (user),66,AA_pure,ID,0.191251,ID,1
chốt demo (user),67,AA_pure,ID,0.38259,ID,1
chốt demo (user),68,AA_pure,ID,0.190607,ID,1
chốt demo (user),69,AA_pure,ID,0.26158,ID,1
chốt demo (user),70,AA_pure,ID,0.153552,ID,1
chốt demo (user),71,AA_pure,ID,0.116774,ID,1
chốt demo (user),72,AA_pure,ID,0.150933,ID,1
chốt demo (user),73,AA_pure,ID,0.279056,ID,1
chốt demo (user),74,AA_pure,ID,0.29928,ID,1
chốt demo (user),75,AA_pure,ID,0.127882,ID,1
chốt demo (user),76,AA_pure,ID,0.240042,ID,1
chốt demo (user),77,AA_pure,ID,0.085277,ID,1
chốt demo (user),78,AA_pure,ID,0.315671,ID,1
chốt demo (user),79,AA_pure,ID,0.43016,ID,1
chốt demo (user),80,AA_pure,ID,0.209383,ID,1
chốt demo (user),81,AA_pure,ID,0.471323,ID,1
chốt demo (user),82,AA_pure,ID,0.174271,ID,1
chốt demo (user),83,AA_pure,ID,0.166506,ID,1
chốt demo (user),84,AA_pure,ID,0.269846,ID,1
chốt demo (user),85,AA_pure,ID,0.138165,ID,1
chốt demo (user),86,AA_pure,ID,0.21822,ID,1
chốt demo (user),87,AA_pure,ID,0.323904,ID,1
chốt demo (user),88,AA_pure,ID,0.217183,ID,1
chốt demo (user),89,AA_pure,ID,0.317611,ID,1
chốt demo (user),90,AA_pure,ID,0.220382,ID,1
chốt demo (user),91,AA_pure,ID,0.402891,ID,1
chốt demo (user),92,AA_pure,ID,0.305762,ID,1
chốt demo (user),93,AA_pure,ID,0.195684,ID,1
chốt demo (user),94,AA_pure,ID,0.293305,ID,1
chốt demo (user),95,AA_pure,ID,0.135474,ID,1
chốt demo (user),96,AA_pure,ID,0.172949,ID,1
chốt demo (user),97,AA_pure,ID,0.388995,ID,1
chốt demo (user),98,AA_pure,ID,0.272107,ID,1
chốt demo (user),99,AA_pure,ID,0.200326,ID,1
chốt demo (user),100,AA_pure,ID,0.311105,ID,1
chốt demo (user),101,AA_pure,ID,0.207383,ID,1
chốt demo (user),102,AA_pure,ID,0.367271,ID,1
chốt demo (user),103,AA_pure,ID,0.123211,ID,1
chốt demo (user),104,AA_pure,ID,0.228243,ID,1
chốt demo (user),105,AA_pure,ID,0.248428,ID,1
chốt demo (user),106,AA_pure,ID,0.099241,ID,1
chốt demo (user),107,AA_pure,ID,0.123561,ID,1
chốt demo (user),108,AA_pure,ID,0.389144,ID,1
chốt demo (user),109,AA_pure,ID,0.394725,ID,1
chốt demo (user),110,AA_pure,ID,0.250079,ID,1
chốt demo (user),111,AA_pure,ID,0.14052,ID,1
chốt demo (user),112,AA_pure,ID,0.186929,ID,1
chốt demo (user),113,AA_pure,ID,0.199573,ID,1
chốt demo (user),114,AA_pure,ID,0.435995,ID,1
chốt demo (user),115,AA_pure,ID,0.195558,ID,1
chốt demo (user),116,AA_pure,ID,0.371401,ID,1
chốt demo (user),117,AA_pure,ID,0.254396,ID,1
chốt demo (user),118,AA_pure,ID,0.184776,ID,1
chốt demo (user),119,AA_pure,ID,0.257462,ID,1
chốt demo (user),120,AA_pure,ID,0.176409,ID,1
chốt demo (user),121,AA_pure,ID,0.209454,ID,1
chốt demo (user),122,AA_pure,ID,0.270401,ID,1
